               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11833,            0.019309,            0.050818,            0.021346,             0.22128,            0.024337,           0.0052985,             0.09484,            0.011416,            0.035363,            0.070219,            0.003309,            0.003309
                   1,            0.082875,            0.015493,            0.030338,             0.89012,            0.087734,             0.11089,            0.022975,            0.073208,            0.010672,            0.026282,            0.040153,           0.0065766,           0.0065766
                   2,            0.068723,             0.01419,            0.023852,             0.29869,             0.41927,             0.29668,               0.105,            0.062963,           0.0097809,            0.019103,            0.010021,           0.0097782,           0.0097782
                   3,            0.063773,            0.012231,            0.018467,             0.39922,             0.33335,             0.31397,              0.1222,             0.06112,            0.011072,            0.021964,            0.009703,            0.009703,            0.009703
                   4,             0.05845,            0.011567,            0.014877,              0.7042,             0.40898,             0.44967,             0.18021,            0.052479,             0.01077,            0.017879,            0.009703,            0.009703,            0.009703
                   5,            0.056052,            0.011071,            0.011647,             0.32789,             0.34014,             0.27042,             0.11311,            0.071529,            0.026383,            0.047644,            0.009604,            0.009604,            0.009604
                   6,             0.05293,            0.010642,             0.01037,             0.48845,             0.71236,             0.69711,             0.30716,             0.04635,           0.0087453,           0.0089706,            0.009505,            0.009505,            0.009505
                   7,            0.051061,            0.010069,             0.00882,             0.43132,             0.68037,             0.61675,             0.28545,             0.04682,            0.010005,            0.011382,            0.009406,            0.009406,            0.009406
                   8,            0.049982,           0.0099395,           0.0084109,             0.68122,             0.59716,             0.62402,             0.30117,            0.045677,            0.010063,            0.020977,            0.009307,            0.009307,            0.009307
                   9,            0.047754,           0.0098831,            0.007008,             0.74322,             0.87641,             0.90531,             0.45938,            0.036007,           0.0080136,           0.0048826,            0.009208,            0.009208,            0.009208
                  10,            0.047144,           0.0097364,           0.0057447,             0.71472,             0.84226,             0.83043,             0.42493,            0.037632,           0.0078225,           0.0050719,            0.009109,            0.009109,            0.009109
                  11,            0.045376,            0.009496,           0.0053381,             0.78378,             0.77139,             0.79934,             0.37767,            0.041292,           0.0093855,           0.0074653,             0.00901,             0.00901,             0.00901
                  12,            0.044411,           0.0092642,           0.0052668,             0.86324,             0.83362,             0.91752,             0.45998,            0.039286,            0.007599,           0.0043883,            0.008911,            0.008911,            0.008911
                  13,            0.044173,           0.0094374,            0.005051,              0.8175,             0.64461,             0.73363,             0.34787,            0.046581,            0.010227,            0.011713,            0.008812,            0.008812,            0.008812
                  14,            0.042635,           0.0089841,           0.0041741,              0.9039,             0.94575,             0.95545,             0.52446,            0.031694,           0.0072204,           0.0023212,            0.008713,            0.008713,            0.008713
                  15,            0.042154,           0.0089223,           0.0043863,             0.81541,              0.9344,             0.93366,             0.53608,            0.033966,           0.0077566,           0.0031171,            0.008614,            0.008614,            0.008614
                  16,            0.041255,           0.0088546,           0.0041739,             0.87082,              0.8861,             0.93554,             0.49442,            0.035586,           0.0072305,           0.0032505,            0.008515,            0.008515,            0.008515
                  17,            0.040918,           0.0087069,           0.0035921,             0.82378,             0.83174,              0.8842,             0.44778,            0.037496,           0.0080619,           0.0053182,            0.008416,            0.008416,            0.008416
                  18,            0.041101,           0.0089207,           0.0035317,             0.91056,             0.94102,             0.95011,             0.52563,            0.031575,           0.0071914,           0.0018562,            0.008317,            0.008317,            0.008317
                  19,            0.040085,           0.0088642,           0.0034452,             0.86555,              0.9289,             0.93427,             0.49894,            0.031972,           0.0070469,           0.0018125,            0.008218,            0.008218,            0.008218
                  20,            0.039499,           0.0087204,           0.0034657,             0.92345,             0.86982,             0.93624,             0.50881,            0.034032,           0.0079127,           0.0028228,            0.008119,            0.008119,            0.008119
                  21,            0.039061,           0.0085032,           0.0026141,             0.93222,             0.93247,             0.96711,             0.56832,            0.031911,           0.0069234,           0.0015018,             0.00802,             0.00802,             0.00802
                  22,            0.038414,           0.0084216,           0.0024827,             0.87753,             0.89785,             0.94006,              0.5153,            0.034582,           0.0078437,           0.0031303,            0.007921,            0.007921,            0.007921
                  23,             0.03773,            0.008541,           0.0031091,             0.91854,             0.94338,             0.95857,             0.57297,            0.032502,            0.007021,           0.0020591,            0.007822,            0.007822,            0.007822
                  24,            0.037523,           0.0083623,           0.0030627,             0.72497,             0.79008,             0.80353,             0.44453,            0.042594,            0.010976,            0.017147,            0.007723,            0.007723,            0.007723
                  25,             0.03618,           0.0081339,           0.0028199,              0.9149,             0.83385,             0.91871,             0.51016,            0.032733,           0.0074423,           0.0025144,            0.007624,            0.007624,            0.007624
                  26,            0.036955,           0.0083615,            0.002651,             0.88107,             0.94507,             0.95744,             0.56222,            0.029654,           0.0071339,           0.0017005,            0.007525,            0.007525,            0.007525
                  27,            0.036292,           0.0081729,           0.0023354,             0.94064,             0.94603,             0.95918,             0.56313,            0.029394,           0.0065781,           0.0014294,            0.007426,            0.007426,            0.007426
                  28,            0.036247,           0.0080926,           0.0025015,             0.92719,             0.86739,             0.90894,             0.51189,            0.031958,           0.0080935,            0.002612,            0.007327,            0.007327,            0.007327
                  29,            0.035401,           0.0082777,           0.0024143,             0.88804,             0.94508,             0.95618,             0.57128,            0.028126,           0.0065309,           0.0012149,            0.007228,            0.007228,            0.007228
                  30,            0.035197,           0.0080379,            0.002327,             0.94209,             0.93427,             0.96103,             0.57731,             0.02966,           0.0067541,           0.0011891,            0.007129,            0.007129,            0.007129
                  31,            0.034826,           0.0079394,           0.0021752,             0.92342,             0.88844,             0.94428,             0.56308,            0.030718,           0.0076445,           0.0042754,             0.00703,             0.00703,             0.00703
                  32,            0.034138,           0.0078487,           0.0019365,             0.95273,             0.93545,             0.96913,             0.60511,            0.028138,           0.0064622,           0.0010319,            0.006931,            0.006931,            0.006931
                  33,            0.034516,           0.0081098,           0.0025553,             0.93863,             0.95986,             0.96717,             0.60326,             0.02737,           0.0064322,           0.0010276,            0.006832,            0.006832,            0.006832
                  34,            0.034028,           0.0078152,           0.0018527,             0.95201,             0.95191,             0.97225,             0.56062,            0.028541,           0.0066454,           0.0010274,            0.006733,            0.006733,            0.006733
                  35,            0.032855,           0.0079837,           0.0016499,             0.94949,             0.95635,             0.97272,             0.61463,            0.027439,           0.0063317,          0.00089258,            0.006634,            0.006634,            0.006634
                  36,            0.033333,           0.0075755,           0.0017023,             0.88868,             0.95794,             0.95748,             0.58699,            0.027859,            0.006634,           0.0014022,            0.006535,            0.006535,            0.006535
                  37,            0.033031,            0.007898,           0.0016285,             0.94901,             0.92742,             0.96003,             0.56313,            0.029264,           0.0073653,           0.0012566,            0.006436,            0.006436,            0.006436
                  38,            0.032793,           0.0075557,           0.0016295,             0.89062,             0.95793,             0.91068,             0.57988,            0.027953,           0.0064586,           0.0011067,            0.006337,            0.006337,            0.006337
                  39,            0.032716,            0.007787,           0.0019051,             0.94742,             0.95196,             0.98048,             0.60381,            0.026745,           0.0063529,           0.0012548,            0.006238,            0.006238,            0.006238
                  40,             0.03239,           0.0077149,           0.0017549,             0.92115,             0.87912,             0.92829,             0.54954,            0.030491,           0.0078188,            0.001757,            0.006139,            0.006139,            0.006139
                  41,            0.032861,           0.0075526,            0.001508,             0.94341,             0.95559,             0.97326,              0.6142,            0.026998,           0.0063219,          0.00086928,             0.00604,             0.00604,             0.00604
                  42,            0.032283,           0.0077944,           0.0014455,             0.94422,             0.94157,             0.97356,             0.61988,            0.026494,           0.0063421,           0.0009544,            0.005941,            0.005941,            0.005941
                  43,              0.0321,           0.0076453,           0.0015508,             0.94526,             0.92529,             0.96577,              0.6145,            0.027542,           0.0067974,           0.0010058,            0.005842,            0.005842,            0.005842
                  44,            0.031538,           0.0076694,           0.0014429,             0.93546,             0.92804,              0.9787,             0.64527,            0.026193,           0.0062515,          0.00073165,            0.005743,            0.005743,            0.005743
                  45,            0.031912,            0.007442,           0.0016759,             0.95938,             0.92539,             0.97275,             0.62233,            0.026028,           0.0064951,          0.00073107,            0.005644,            0.005644,            0.005644
                  46,            0.030754,           0.0074891,           0.0016152,             0.95848,                0.94,              0.9708,             0.60141,            0.028742,           0.0069212,           0.0010337,            0.005545,            0.005545,            0.005545
                  47,            0.030804,           0.0075256,            0.001632,             0.95458,             0.94908,             0.97628,             0.63966,            0.026178,           0.0062725,          0.00079322,            0.005446,            0.005446,            0.005446
                  48,            0.031491,           0.0075914,           0.0017293,             0.94161,             0.95885,             0.97423,             0.63699,            0.027184,           0.0065726,          0.00084452,            0.005347,            0.005347,            0.005347
                  49,             0.03193,           0.0075473,           0.0015677,             0.94601,             0.94548,              0.9707,             0.62932,            0.027295,           0.0065644,          0.00083665,            0.005248,            0.005248,            0.005248
                  50,             0.03042,           0.0076417,           0.0015296,              0.9425,              0.9362,             0.96347,             0.60568,            0.026229,           0.0063486,          0.00092899,            0.005149,            0.005149,            0.005149
                  51,            0.030476,           0.0076559,           0.0014256,             0.94443,             0.95676,             0.98167,             0.64185,            0.025558,           0.0061299,            0.000679,             0.00505,             0.00505,             0.00505
                  52,            0.030324,           0.0072247,           0.0015597,              0.9447,              0.9608,             0.97701,             0.62083,            0.025339,           0.0061163,          0.00063094,            0.004951,            0.004951,            0.004951
                  53,            0.030423,           0.0074417,           0.0012994,             0.95671,             0.95502,             0.97666,             0.63358,             0.02534,           0.0060719,          0.00064526,            0.004852,            0.004852,            0.004852
                  54,            0.029723,            0.007357,           0.0011246,             0.94503,             0.97213,             0.98041,             0.64149,            0.024279,           0.0060643,          0.00054338,            0.004753,            0.004753,            0.004753
                  55,             0.03035,            0.007295,           0.0015895,             0.94964,             0.95697,             0.98391,              0.6454,             0.02508,           0.0061664,          0.00068681,            0.004654,            0.004654,            0.004654
                  56,            0.029368,           0.0073262,           0.0012948,             0.94422,             0.93395,             0.96442,             0.60384,            0.028749,           0.0068249,           0.0013265,            0.004555,            0.004555,            0.004555
                  57,            0.029974,           0.0072253,           0.0012524,             0.95942,             0.94116,              0.9763,             0.64119,            0.026324,           0.0063912,          0.00076071,            0.004456,            0.004456,            0.004456
                  58,            0.029168,           0.0073364,           0.0010566,             0.94523,             0.97679,             0.98382,             0.64541,            0.025059,           0.0060754,          0.00056463,            0.004357,            0.004357,            0.004357
                  59,            0.029477,           0.0072206,            0.001146,             0.94619,             0.95366,             0.97587,              0.6264,            0.024898,           0.0061448,          0.00057434,            0.004258,            0.004258,            0.004258
                  60,            0.029444,           0.0071921,           0.0014092,             0.94865,             0.96344,             0.98273,             0.63959,            0.025538,           0.0061829,          0.00062996,            0.004159,            0.004159,            0.004159
                  61,            0.028725,           0.0073166,           0.0012943,             0.95037,             0.97316,             0.98496,             0.67053,            0.024725,           0.0060252,           0.0004604,             0.00406,             0.00406,             0.00406
                  62,            0.028419,           0.0071179,           0.0011078,              0.9519,             0.95773,             0.97664,             0.62928,            0.026321,           0.0065655,           0.0007093,            0.003961,            0.003961,            0.003961
                  63,            0.028605,           0.0072288,           0.0015332,             0.95706,             0.97019,              0.9839,             0.65664,            0.023856,           0.0060267,          0.00070401,            0.003862,            0.003862,            0.003862
                  64,            0.028399,           0.0071952,           0.0013711,             0.95854,               0.949,             0.98104,             0.63272,            0.024744,             0.00631,          0.00050253,            0.003763,            0.003763,            0.003763
                  65,            0.028856,           0.0072968,           0.0013238,             0.95505,             0.92737,             0.96643,             0.62639,            0.026282,           0.0065229,          0.00062855,            0.003664,            0.003664,            0.003664
                  66,            0.028901,            0.007154,           0.0012534,             0.95569,             0.95526,             0.97787,              0.6452,            0.024004,           0.0060407,          0.00057462,            0.003565,            0.003565,            0.003565
                  67,            0.028445,           0.0068873,          0.00092659,             0.94997,             0.95237,             0.97993,             0.63929,            0.024714,           0.0061361,          0.00046443,            0.003466,            0.003466,            0.003466
                  68,             0.02791,           0.0072227,           0.0010097,             0.95648,             0.96782,             0.98586,             0.65902,            0.024112,           0.0059676,          0.00046163,            0.003367,            0.003367,            0.003367
                  69,            0.027959,           0.0068929,           0.0011147,             0.95958,             0.97578,             0.98745,             0.64897,            0.024284,           0.0060321,          0.00049296,            0.003268,            0.003268,            0.003268
                  70,             0.02833,           0.0071081,           0.0011281,             0.95208,             0.98198,             0.98691,              0.6604,            0.023999,           0.0059297,          0.00042866,            0.003169,            0.003169,            0.003169
                  71,            0.027691,            0.007047,           0.0011686,             0.96146,             0.97613,             0.98602,             0.66815,            0.023485,           0.0059831,          0.00050996,             0.00307,             0.00307,             0.00307
                  72,            0.027263,           0.0071342,              0.0011,             0.95381,             0.96506,             0.98171,             0.66777,            0.023993,           0.0060132,          0.00042226,            0.002971,            0.002971,            0.002971
                  73,            0.027837,           0.0069611,           0.0011604,             0.96622,             0.93937,             0.97689,             0.66611,            0.024705,            0.005952,           0.0004645,            0.002872,            0.002872,            0.002872
                  74,            0.027124,           0.0069651,           0.0010453,             0.95761,             0.97975,             0.98766,             0.64285,            0.023891,            0.005907,          0.00044021,            0.002773,            0.002773,            0.002773
                  75,            0.027015,           0.0069513,            0.000949,              0.9653,             0.96744,             0.98534,             0.67434,            0.023813,           0.0058872,          0.00047993,            0.002674,            0.002674,            0.002674
                  76,             0.02688,            0.006938,          0.00088096,              0.9585,             0.96936,             0.98548,             0.66683,            0.023852,           0.0059339,          0.00039654,            0.002575,            0.002575,            0.002575
                  77,            0.027025,           0.0068782,           0.0007993,             0.96328,             0.97783,             0.98718,             0.65856,            0.024153,           0.0059959,          0.00039264,            0.002476,            0.002476,            0.002476
                  78,            0.026657,           0.0069301,          0.00087543,             0.94113,             0.97548,             0.98254,             0.66543,            0.023568,             0.00591,          0.00035683,            0.002377,            0.002377,            0.002377
                  79,            0.026245,           0.0067709,          0.00070344,             0.95171,             0.97265,               0.986,             0.66611,             0.02337,           0.0059241,          0.00031704,            0.002278,            0.002278,            0.002278
                  80,            0.026158,           0.0066996,          0.00099418,             0.95397,             0.96774,             0.98228,             0.67104,            0.023986,           0.0060204,          0.00045315,            0.002179,            0.002179,            0.002179
                  81,            0.026105,           0.0070301,          0.00085385,             0.95874,             0.96837,             0.98528,             0.67436,            0.023308,           0.0059376,          0.00036318,             0.00208,             0.00208,             0.00208
                  82,            0.026362,            0.006763,          0.00080373,             0.95357,              0.9731,             0.98665,             0.67682,             0.02285,           0.0058452,          0.00037655,            0.001981,            0.001981,            0.001981
                  83,            0.026201,           0.0068179,          0.00079994,             0.96019,             0.97778,             0.98653,             0.67773,            0.023181,           0.0058895,          0.00033857,            0.001882,            0.001882,            0.001882
                  84,            0.026619,           0.0067637,          0.00086104,             0.94837,             0.97167,              0.9862,              0.6635,            0.023213,           0.0059183,          0.00031478,            0.001783,            0.001783,            0.001783
                  85,            0.025905,           0.0068246,          0.00068198,             0.95687,             0.98055,             0.98732,             0.68759,            0.022596,           0.0058426,          0.00028359,            0.001684,            0.001684,            0.001684
                  86,            0.025765,           0.0068043,          0.00071381,             0.95346,             0.97207,             0.98497,             0.68553,            0.022405,           0.0058271,          0.00028143,            0.001585,            0.001585,            0.001585
                  87,            0.025556,           0.0067018,          0.00074521,             0.95651,             0.97194,             0.98724,             0.68605,            0.022985,           0.0058237,          0.00025301,            0.001486,            0.001486,            0.001486
                  88,            0.025714,           0.0065259,          0.00060631,             0.96562,             0.97616,             0.98769,             0.69534,            0.022381,           0.0057965,          0.00025158,            0.001387,            0.001387,            0.001387
                  89,            0.025483,           0.0066675,          0.00062343,             0.96123,             0.96793,             0.98676,             0.68451,            0.022402,           0.0057956,           0.0002534,            0.001288,            0.001288,            0.001288
                  90,            0.025258,           0.0067774,          0.00077432,             0.95933,             0.98002,             0.98778,             0.69726,            0.022202,           0.0057833,          0.00028174,            0.001189,            0.001189,            0.001189
                  91,            0.025006,           0.0067447,          0.00082507,             0.96455,              0.9647,             0.98685,             0.68313,            0.022842,           0.0057983,          0.00025513,             0.00109,             0.00109,             0.00109
                  92,            0.025181,           0.0065804,           0.0010482,              0.9577,              0.9763,             0.98654,             0.69114,            0.022374,           0.0057367,          0.00029034,            0.000991,            0.000991,            0.000991
                  93,            0.025068,           0.0066161,          0.00059861,             0.97058,             0.97271,             0.98754,             0.69816,            0.022469,           0.0057923,          0.00028321,            0.000892,            0.000892,            0.000892
