               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11229,            0.017271,            0.048537,           0.0038912,              0.1221,            0.021162,           0.0047006,            0.097023,            0.012098,            0.038387,            0.070219,            0.003309,            0.003309
                   1,            0.081305,            0.016835,            0.031266,             0.89326,            0.080724,              0.0872,            0.029406,             0.06542,            0.011623,            0.027534,            0.040153,           0.0065766,           0.0065766
                   2,            0.066979,            0.013955,            0.023819,             0.30799,             0.19109,             0.17452,            0.054957,            0.079106,            0.010816,            0.031764,            0.010021,           0.0097782,           0.0097782
                   3,            0.061661,            0.011853,            0.016903,             0.57366,             0.46866,             0.43359,             0.17953,            0.049139,            0.010357,            0.014778,            0.009703,            0.009703,            0.009703
                   4,            0.056616,            0.011024,            0.012179,             0.67674,             0.58695,             0.64808,             0.28548,            0.047945,           0.0095244,           0.0094141,            0.009703,            0.009703,            0.009703
                   5,            0.053656,            0.010585,           0.0091147,             0.73571,             0.64009,              0.7279,             0.36517,             0.04263,           0.0081617,           0.0080637,            0.009604,            0.009604,            0.009604
                   6,            0.050594,            0.010443,           0.0084987,             0.73154,             0.84569,             0.86082,             0.39925,            0.038244,           0.0082689,           0.0049986,            0.009505,            0.009505,            0.009505
                   7,            0.048839,           0.0096692,           0.0066341,             0.74075,              0.8421,             0.85757,             0.42207,            0.037849,           0.0085146,            0.004898,            0.009406,            0.009406,            0.009406
                   8,            0.047943,           0.0095046,           0.0063036,             0.32725,             0.25935,             0.25355,             0.11226,            0.068845,            0.014965,            0.047343,            0.009307,            0.009307,            0.009307
                   9,            0.046185,           0.0094952,           0.0057409,             0.65931,             0.66342,             0.67366,             0.27109,            0.047181,           0.0093903,            0.025418,            0.009208,            0.009208,            0.009208
                  10,            0.044972,           0.0093873,           0.0046468,             0.75977,             0.82254,             0.83325,             0.42516,            0.037925,           0.0077055,           0.0045856,            0.009109,            0.009109,            0.009109
                  11,            0.043683,           0.0092603,           0.0045106,             0.81061,             0.89023,             0.88028,             0.45388,            0.035303,           0.0072723,           0.0023682,             0.00901,             0.00901,             0.00901
                  12,             0.04225,           0.0090452,           0.0044472,             0.82992,             0.80029,             0.85803,             0.46366,            0.035307,           0.0074445,            0.003572,            0.008911,            0.008911,            0.008911
                  13,             0.04192,           0.0092642,            0.004222,             0.86515,             0.83701,             0.85962,             0.45472,            0.034949,           0.0081563,           0.0051417,            0.008812,            0.008812,            0.008812
                  14,            0.040805,           0.0087109,           0.0042264,             0.90503,              0.9606,             0.96177,             0.54129,            0.031593,           0.0068415,            0.002408,            0.008713,            0.008713,            0.008713
                  15,              0.0408,           0.0085457,           0.0035881,             0.90292,             0.94443,             0.95061,             0.50763,            0.032367,           0.0070176,            0.002204,            0.008614,            0.008614,            0.008614
                  16,              0.0393,           0.0084368,           0.0036458,             0.83704,              0.9218,             0.94206,             0.56675,            0.032326,           0.0069693,           0.0021617,            0.008515,            0.008515,            0.008515
                  17,            0.039111,             0.00838,           0.0029888,              0.6897,              0.6097,             0.67329,             0.33148,            0.048437,            0.012099,            0.015405,            0.008416,            0.008416,            0.008416
                  18,            0.038799,           0.0085386,           0.0032326,             0.90011,             0.92198,             0.94086,             0.54201,            0.031984,           0.0067944,           0.0016059,            0.008317,            0.008317,            0.008317
                  19,            0.037698,           0.0085069,           0.0032187,              0.9462,             0.88615,             0.96116,             0.58424,            0.031676,           0.0070092,           0.0029511,            0.008218,            0.008218,            0.008218
                  20,            0.038125,           0.0083772,           0.0030867,             0.94746,             0.86415,              0.9586,             0.55815,            0.030851,           0.0068296,            0.001582,            0.008119,            0.008119,            0.008119
                  21,            0.036374,           0.0081098,           0.0023707,             0.88413,             0.92267,             0.95518,             0.57804,            0.032421,           0.0068072,           0.0019476,             0.00802,             0.00802,             0.00802
                  22,            0.036378,            0.008039,           0.0023376,             0.91911,              0.8664,             0.93968,             0.53361,            0.034896,           0.0076188,           0.0023244,            0.007921,            0.007921,            0.007921
                  23,            0.035695,           0.0081471,           0.0031537,             0.95456,             0.96376,             0.97616,             0.60712,            0.029722,           0.0065745,           0.0015896,            0.007822,            0.007822,            0.007822
                  24,            0.035469,           0.0079161,           0.0026999,             0.92008,             0.92704,             0.96024,             0.57797,            0.031492,           0.0077163,           0.0029979,            0.007723,            0.007723,            0.007723
                  25,            0.034209,           0.0077492,           0.0024907,             0.92406,             0.95716,              0.9719,               0.602,            0.028567,           0.0066375,           0.0015255,            0.007624,            0.007624,            0.007624
                  26,            0.034917,           0.0079573,           0.0022441,             0.92729,             0.87709,             0.92589,             0.54556,            0.031401,           0.0076042,           0.0017762,            0.007525,            0.007525,            0.007525
                  27,            0.034306,           0.0078195,           0.0020303,             0.92168,             0.94744,             0.96863,             0.60001,             0.02791,           0.0063231,           0.0011853,            0.007426,            0.007426,            0.007426
                  28,            0.033759,           0.0075276,           0.0020058,               0.955,             0.94953,             0.98001,             0.60941,             0.02704,            0.006301,            0.001153,            0.007327,            0.007327,            0.007327
